model,train_dataset,corruption,severity,n,accuracy,ece,aurc,sel_acc_70
smolvlm,slake_en,gaussian_noise,3,357,0.6778711484593838,0.17661407771519577,0.2061848085307578,0.716
smolvlm,slake_en,gaussian_blur,1,357,0.6890756302521008,0.17516024301024505,0.19149325360425387,0.736
smolvlm,slake_en,gaussian_blur,2,357,0.6778711484593838,0.16989514680108245,0.21485448526667306,0.732
smolvlm,slake_en,gaussian_blur,3,357,0.6554621848739496,0.18331189157520816,0.2638584463703513,0.696
smolvlm,slake_en,motion_blur,1,357,0.6358543417366946,0.2127126025953903,0.27651487932606095,0.684
smolvlm,slake_en,motion_blur,2,357,0.6666666666666666,0.18587675020647504,0.27774718852711844,0.696
smolvlm,slake_en,motion_blur,3,357,0.6638655462184874,0.2066423939065305,0.28072565952859546,0.704
smolvlm,slake_en,brightness_shift,1,357,0.6974789915966386,0.16793630543861077,0.20907096681908224,0.732
smolvlm,slake_en,brightness_shift,2,357,0.6834733893557423,0.18469626005874343,0.20608909581447876,0.732
smolvlm,slake_en,brightness_shift,3,357,0.6610644257703081,0.19622587579962997,0.20836712277741617,0.736
smolvlm,slake_en,contrast_shift,1,357,0.7086834733893558,0.16627886170401668,0.20161765542658516,0.736
smolvlm,slake_en,contrast_shift,2,357,0.6778711484593838,0.18153534318170406,0.1944889066098159,0.732
smolvlm,slake_en,contrast_shift,3,357,0.6750700280112045,0.1808025879025194,0.18514122814828676,0.74
smolvlm,slake_en,jpeg_compression,1,357,0.6918767507002801,0.15924656881364857,0.19029426586765938,0.748
smolvlm,slake_en,jpeg_compression,2,357,0.6946778711484594,0.17457493458030413,0.20607943094481496,0.72
smolvlm,slake_en,jpeg_compression,3,357,0.6778711484593838,0.16893361585550537,0.22709681249788807,0.696
smolvlm,slake_en,downscale_upscale,1,357,0.6862745098039216,0.1811868438930045,0.21976027225426026,0.724
smolvlm,slake_en,downscale_upscale,2,357,0.6890756302521008,0.1830782341100863,0.21794023693909856,0.716
smolvlm,slake_en,downscale_upscale,3,357,0.6722689075630253,0.18976071671485759,0.2222321933974569,0.724
